zip_code,city,state
99824,Douglas,Alaska
99692,Dutch Harbor,Alaska
99738,Eagle,Alaska
99577,Eagle River,Alaska
99901,Edna Bay,Alaska
99950,Edna Bay,Alaska
99578,Eek,Alaska
99579,Egegik,Alaska
99702,Eielson AFB,Alaska
99580,Ekwok,Alaska
99825,Elfin Cove,Alaska
99739,Elim,Alaska
99581,Emmonak,Alaska
99603,English Bay,Alaska
99725,Ester,Alaska
99705,Fairbanks,Alaska
99706,Fairbanks,Alaska
99707,Fairbanks,Alaska
99708,Fairbanks,Alaska
99709,Fairbanks,Alaska
99710,Fairbanks,Alaska
99712,Fairbanks,Alaska
99714,Fairbanks,Alaska
99716,Fairbanks,Alaska
99767,Fairbanks,Alaska
99775,Fairbanks,Alaska
99790,Fairbanks,Alaska
99583,False Pass,Alaska
99703,Fort Wainwright,Alaska
99740,Fort Yukon,Alaska
99586,Gakona,Alaska
99741,Galena,Alaska
99742,Gambell,Alaska
99587,Girdwood,Alaska
99693,Girdwood,Alaska
99588,Glennallen,Alaska
99589,Goodnews Bay,Alaska
99590,Grayling,Alaska
99826,Gustavus,Alaska
99827,Haines,Alaska
99743,Healy,Alaska
99602,Holy Cross,Alaska
99829,Hoonah,Alaska
99604,Hooper Bay,Alaska
99605,Hope,Alaska
99694,Houston,Alaska
99745,Hughes,Alaska
99746,Huslia,Alaska
99922,Hydaburg,Alaska
99923,Hyder,Alaska
99613,Igiugig,Alaska
99606,Iliamna,Alaska
99647,Iliamna,Alaska
99801,Juneau,Alaska
99802,Juneau,Alaska
99803,Juneau,Alaska
99811,Juneau,Alaska
99812,Juneau,Alaska
99850,Juneau,Alaska
99830,Kake,Alaska
99747,Kaktovik,Alaska
99607,Kalskag,Alaska
99748,Kaltag,Alaska
99608,Karluk,Alaska
99609,Kasigluk,Alaska
99610,Kasilof,Alaska
99611,Kenai,Alaska
99635,Kenai,Alaska
99903,Ketchikan,Alaska
99919,Ketchikan,Alaska
99749,Kiana,Alaska
99612,King Cove,Alaska
99549,King Salmon,Alaska
99614,Kipnuk,Alaska
99750,Kivalina,Alaska
99925,Klawock,Alaska
99751,Kobuk,Alaska
99619,Kodiak,Alaska
99697,Kodiak,Alaska
99545,Kongiganak,Alaska
99620,Kotlik,Alaska
99752,Kotzebue,Alaska
99753,Koyuk,Alaska
99754,Koyukuk,Alaska
99621,Kwethluk,Alaska
99622,Kwigillingok,Alaska
99757,Lake Minchumina,Alaska
99624,Larsen Bay,Alaska
99625,Levelock,Alaska
99626,Lower Kalskag,Alaska
99756,Manley Hot Springs,Alaska
99628,Manokotak,Alaska
99585,Marshall,Alaska
99627,Mc Grath,Alaska
99675,Mc Grath,Alaska
99691,Mc Grath,Alaska
99629,Meadow Lake,Alaska
99630,Mekoryuk,Alaska
99780,Mentasta Lake,Alaska
99926,Metlakatla,Alaska
99758,Minto,Alaska
99631,Moose Pass,Alaska
99632,Mountain Village,Alaska
99633,Naknek,Alaska
99634,Napakiak,Alaska
99760,Nenana,Alaska
99636,New Stuyahok,Alaska
99638,Nikolski,Alaska
99639,Ninilchik,Alaska
99761,Noatak,Alaska
99640,Nondalton,Alaska
99763,Noorvik,Alaska
99764,Northway,Alaska
99765,Nulato,Alaska
99666,Nunam Iqua,Alaska
99641,Nunapitchuk,Alaska
99643,Old Harbor,Alaska
99644,Ouzinkie,Alaska
99645,Palmer,Alaska
99832,Pelican,Alaska
99648,Perryville,Alaska
99833,Petersburg,Alaska
99649,Pilot Point,Alaska
99650,Pilot Station,Alaska
99651,Platinum,Alaska
99927,Point Baker,Alaska
99766,Point Hope,Alaska
99836,Port Alexander,Alaska
99653,Port Alsworth,Alaska
99550,Port Lions,Alaska
99655,Quinhagak,Alaska
99656,Red Devil,Alaska
99768,Ruby,Alaska
99657,Russian Mission,Alaska
99591,Saint George,Alaska
99658,Saint Marys,Alaska
99659,Saint Michael,Alaska
99660,Saint Paul Island,Alaska
99661,Sand Point,Alaska
99769,Savoonga,Alaska
99662,Scammon Bay,Alaska
99770,Selawik,Alaska
99663,Seldovia,Alaska
99664,Seward,Alaska
99665,Shageluk,Alaska
99771,Shaktoolik,Alaska
99772,Shishmaref,Alaska
99773,Shungnak,Alaska
99835,Sitka,Alaska
99840,Skagway,Alaska
99667,Skwentna,Alaska
99668,Sleetmute,Alaska
99669,Soldotna,Alaska
99670,South Naknek,Alaska
99671,Stebbins,Alaska
99672,Sterling,Alaska
99774,Stevens Village,Alaska
99676,Talkeetna,Alaska
99776,Tanacross,Alaska
99777,Tanana,Alaska
99778,Teller,Alaska
99841,Tenakee Springs,Alaska
99678,Togiak,Alaska
99683,Trapper Creek,Alaska
99681,Tununak,Alaska
99682,Tyonek,Alaska
99684,Unalakleet,Alaska
99685,Unalaska,Alaska
99686,Valdez,Alaska
99781,Venetie,Alaska
99782,Wainwright,Alaska
99783,Wales,Alaska
99928,Ward Cove,Alaska
99654,Wasilla,Alaska
99687,Wasilla,Alaska
99784,White Mountain,Alaska
99688,Willow,Alaska
99929,Wrangell,Alaska
99689,Yakutat,Alaska
36310,Abbeville,Alabama
36258,Abel,Alabama
35440,Abernant,Alabama
35004,Acmar,Alabama
35005,Adamsville,Alabama
35540,Addison,Alabama
35006,Adger,Alabama
35441,Akron,Alabama
35295,Ala Gas Corp,Alabama
36133,Ala Power Co,Alabama
36130,Ala State Govt Mail,Alabama
35762,Alabama A and M,Alabama
36523,Alabama Port,Alabama
35291,Alabama Power Co,Alabama
35292,Alabama Power Co,Alabama
35007,Alabaster,Alabama
35144,Alabaster,Alabama
36720,Alberta,Alabama
35950,Albertville,Alabama
35951,Albertville,Alabama
35073,Alden,Alabama
35010,Alex City,Alabama
35011,Alex City,Alabama
36250,Alexandria,Alabama
36191,Alfa Ins Co,Alabama
35442,Aliceville,Alabama
36451,Allen,Alabama
35013,Allgood,Alabama
36501,Alma,Alabama
36276,Almond,Alabama
35014,Alpine,Alabama
35015,Alton,Alabama
35952,Altoona,Alabama
36420,Andalusia,Alabama
36421,Andalusia,Alabama
35610,Anderson,Alabama
36721,Annemanie,Alabama
36201,Anniston,Alabama
36202,Anniston,Alabama
36203,Anniston,Alabama
36204,Anniston,Alabama
36205,Anniston,Alabama
36206,Anniston,Alabama
36207,Anniston,Alabama
36210,Anniston,Alabama
36558,Aquilla,Alabama
35016,Arab,Alabama
35739,Ardmore,Alabama
36311,Ariton,Alabama
35033,Arkadelphia,Alabama
35541,Arley,Alabama
36722,Arlington,Alabama
36089,Armstrong,Alabama
36312,Ashford,Alabama
36251,Ashland,Alabama
35953,Ashville,Alabama
35611,Athens,Alabama
35612,Athens,Alabama
35613,Athens,Alabama
35614,Athens,Alabama
36502,Atmore,Alabama
36503,Atmore,Alabama
36504,Atmore,Alabama
35954,Attalla,Alabama
35571,Atwood,Alabama
36830,Auburn,Alabama
36831,Auburn,Alabama
36832,Auburn,Alabama
36849,Auburn,Alabama
36003,Autaugaville,Alabama
35222,Avondale,Alabama
36505,Axis,Alabama
35019,Baileyton,Alabama
36027,Bakerhill,Alabama
36005,Banks,Alabama
36061,Banks,Alabama
35542,Bankston,Alabama
36266,Barfield,Alabama
35550,Barney,Alabama
36141,Bass Anglers Sports Soc,Alabama
36585,Bassetts Creek,Alabama
36316,Battens Crossroads,Alabama
36507,Bay Minette,Alabama
36509,Bayou La Batre,Alabama
35559,Bazemore,Alabama
35543,Bear Creek,Alabama
36425,Beatrice,Alabama
35544,Beaverton,Alabama
35545,Belk,Alabama
36567,Bell Fountain,Alabama
36901,Bellamy,Alabama
35615,Belle Mina,Alabama
36313,Bellwood,Alabama
36785,Benton,Alabama
35546,Berry,Alabama
36353,Bertha,Alabama
36374,Bertha,Alabama
35022,Bess,Alabama
35020,Bessemer,Alabama
35021,Bessemer,Alabama
35023,Bessemer,Alabama
35570,Bexar,Alabama
35229,Bham,Alabama
35238,Bham,Alabama
35246,Bham,Alabama
35254,Bham,Alabama
35260,Bham,Alabama
35261,Bham,Alabama
35266,Bham,Alabama
35282,Bham,Alabama
35283,Bham,Alabama
35285,Bham,Alabama
35287,Bham,Alabama
35288,Bham,Alabama
35290,Bham,Alabama
35293,Bham,Alabama
35294,Bham,Alabama
35296,Bham,Alabama
35297,Bham,Alabama
35298,Bham,Alabama
35763,Big Cove,Alabama
36006,Billingsley,Alabama
35201,Birmingham,Alabama
35202,Birmingham,Alabama
35203,Birmingham,Alabama
35204,Birmingham,Alabama
35205,Birmingham,Alabama
35206,Birmingham,Alabama
35207,Birmingham,Alabama
35208,Birmingham,Alabama
35209,Birmingham,Alabama
35210,Birmingham,Alabama
35211,Birmingham,Alabama
35212,Birmingham,Alabama
35213,Birmingham,Alabama
35214,Birmingham,Alabama
35215,Birmingham,Alabama
35216,Birmingham,Alabama
35217,Birmingham,Alabama
35218,Birmingham,Alabama
35219,Birmingham,Alabama
35220,Birmingham,Alabama
35221,Birmingham,Alabama
35223,Birmingham,Alabama
35224,Birmingham,Alabama
35226,Birmingham,Alabama
35228,Birmingham,Alabama
35231,Birmingham,Alabama
35232,Birmingham,Alabama
35233,Birmingham,Alabama
35234,Birmingham,Alabama
35235,Birmingham,Alabama
35236,Birmingham,Alabama
35237,Birmingham,Alabama
35242,Birmingham,Alabama
35243,Birmingham,Alabama
35244,Birmingham,Alabama
35249,Birmingham,Alabama
35253,Birmingham,Alabama
35255,Birmingham,Alabama
35259,Birmingham,Alabama
36314,Black,Alabama
36919,Bladon Springs,Alabama
35079,Blount Springs,Alabama
35031,Blountsville,Alabama
36017,Blue Springs,Alabama
35555,Bluff,Alabama
35956,Boaz,Alabama
35957,Boaz,Alabama
35443,Boligee,Alabama
36033,Bolling,Alabama
35032,Bon Air,Alabama
36511,Bon Secour,Alabama
36008,Booth,Alabama
36272,Borden Springs,Alabama
36723,Boykin,Alabama
36483,Bradley,Alabama
35120,Branchville,Alabama
36009,Brantley,Alabama
35034,Brent,Alabama
36426,Brewton,Alabama
36427,Brewton,Alabama
35740,Bridgeport,Alabama
35035,Brierfield,Alabama
35548,Brilliant,Alabama
36615,Brookley Field,Alabama
36429,Brooklyn,Alabama
35036,Brookside,Alabama
35444,Brookwood,Alabama
35741,Brownsboro,Alabama
36010,Brundidge,Alabama
35958,Bryant,Alabama
36512,Bucks,Alabama
35446,Buhl,Alabama
36752,Burkville,Alabama
36401,Burnt Corn,Alabama
35593,Burntout,Alabama
35038,Burnwell,Alabama
36904,Butler,Alabama
36253,Bynum,Alabama
35040,Calera,Alabama
36513,Calvert,Alabama
36726,Camden,Alabama
36850,Camp Hill,Alabama
36727,Campbell,Alabama
35742,Capshaw,Alabama
35549,Carbon Hill,Alabama
35041,Cardiff,Alabama
36515,Carlton,Alabama
35447,Carrollton,Alabama
36548,Carson,Alabama
36432,Castleberry,Alabama
36728,Catherine,Alabama
36013,Cecil,Alabama
35959,Cedar Bluff,Alabama
36024,Central,Alabama
35960,Centre,Alabama
35042,Centreville,Alabama
36751,Chance,Alabama
36015,Chapman,Alabama
36560,Chastang,Alabama
36518,Chatom,Alabama
35043,Chelsea,Alabama
35616,Cherokee,Alabama
36346,Chestnut Grove,Alabama
36611,Chickasaw,Alabama
36671,Chickasaw,Alabama
35044,Childersburg,Alabama
36110,Chisolm,Alabama
36254,Choccolocco,Alabama
36480,Chrysler,Alabama
36264,Chulafinnee,Alabama
36521,Chunchula,Alabama
36522,Citronelle,Alabama
36470,Claiborne,Alabama
35045,Clanton,Alabama
35046,Clanton,Alabama
35048,Clay,Alabama
36322,Clayhatchee,Alabama
36016,Clayton,Alabama
35049,Cleveland,Alabama
35448,Clinton,Alabama
36317,Clopton,Alabama
35617,Cloverdale,Alabama
35182,Coal City,Alabama
35481,Coal Fire,Alabama
35068,Coalburg,Alabama
35449,Coaling,Alabama
35453,Coaling,Alabama
35470,Coatopa,Alabama
36318,Coffee Springs,Alabama
36524,Coffeeville,Alabama
35452,Coker,Alabama
35961,Collinsville,Alabama
36142,Colonial Mortgage,Alabama
36319,Columbia,Alabama
35051,Columbiana,Alabama
36053,Comer,Alabama
35052,Cook Springs,Alabama
36020,Coosada,Alabama
36278,Corinth,Alabama
36851,Cottonton,Alabama
36859,Cottonton,Alabama
36320,Cottonwood,Alabama
35618,Courtland,Alabama
36321,Cowarts,Alabama
36435,Coy,Alabama
36255,Cragford,Alabama
35053,Crane Hill,Alabama
36525,Creola,Alabama
35054,Cropwell,Alabama
35962,Crossville,Alabama
36907,Cuba,Alabama
35055,Cullman,Alabama
35056,Cullman,Alabama
35057,Cullman,Alabama
35058,Cullman,Alabama
36852,Cusseta,Alabama
35474,Cypress,Alabama
36853,Dadeville,Alabama
36108,Dannelly,Alabama
35619,Danville,Alabama
36526,Daphne,Alabama
36528,Dauphin Island,Alabama
36256,Daviston,Alabama
35963,Dawson,Alabama
36738,Dayton,Alabama
36257,De Armanville,Alabama
36022,Deatsville,Alabama
35601,Decatur,Alabama
35602,Decatur,Alabama
35603,Decatur,Alabama
35609,Decatur,Alabama
35699,Decatur,Alabama
36529,Deer Park,Alabama
35551,Delmar,Alabama
36732,Demopolis,Alabama
35552,Detroit,Alabama
36436,Dickinson,Alabama
35126,Dixiana,Alabama
36736,Dixons Mills,Alabama
35060,Docena,Alabama
35061,Dolomite,Alabama
35062,Dora,Alabama
36301,Dothan,Alabama
36302,Dothan,Alabama
36303,Dothan,Alabama
36304,Dothan,Alabama
36305,Dothan,Alabama
35553,Double Springs,Alabama
35964,Douglas,Alabama
36028,Dozier,Alabama
35456,Duncanville,Alabama
35744,Dutton,Alabama
35903,East Gadsden,Alabama
36023,East Tallassee,Alabama
36260,Eastaboga,Alabama
35404,Eastside,Alabama
35457,Echola,Alabama
35125,Eden,Alabama
36261,Edwardsville,Alabama
36613,Eight Mile,Alabama
36663,Eight Mile,Alabama
36323,Elba,Alabama
36530,Elberta,Alabama
35554,Eldridge,Alabama
35620,Elkmont,Alabama
36025,Elmore,Alabama
35458,Elrod,Alabama
35459,Emelle,Alabama
35063,Empire,Alabama
36330,Enterprise,Alabama
36331,Enterprise,Alabama
35460,Epes,Alabama
36026,Equality,Alabama
35745,Estillfork,Alabama
35461,Ethelsville,Alabama
36072,Eufaula,Alabama
36340,Eunola,Alabama
35462,Eutaw,Alabama
35621,Eva,Alabama
36439,Excel,Alabama
35966,Fabius,Alabama
35746,Fackler,Alabama
36532,Fair Hope,Alabama
36854,Fairfax,Alabama
35064,Fairfield,Alabama
36533,Fairhope,Alabama
35622,Falkville,Alabama
36761,Farmersville,Alabama
35576,Fernbank,Alabama
36134,First Alabama Bank,Alabama
36029,Fitzpatrick,Alabama
36855,Five Points,Alabama
36441,Flomaton,Alabama
36442,Florala,Alabama
35630,Florence,Alabama
35631,Florence,Alabama
35632,Florence,Alabama
35633,Florence,Alabama
35634,Florence,Alabama
36535,Foley,Alabama
36536,Foley,Alabama
36030,Forest Home,Alabama
36740,Forkland,Alabama
36031,Fort Davis,Alabama
36032,Fort Deposit,Alabama
36856,Fort Mitchell,Alabama
35967,Fort Payne,Alabama
35968,Fort Payne,Alabama
36362,Fort Rucker,Alabama
35463,Fosters,Alabama
36461,Fountain,Alabama
36444,Franklin,Alabama
36538,Frankville,Alabama
36445,Frisco City,Alabama
36539,Fruitdale,Alabama
36262,Fruithurst,Alabama
36446,Fulton,Alabama
36741,Furman,Alabama
35971,Fyffe,Alabama
35901,Gadsden,Alabama
35902,Gadsden,Alabama
35904,Gadsden,Alabama
35905,Gadsden,Alabama
35906,Gadsden,Alabama
35907,Gadsden,Alabama
36540,Gainestown,Alabama
35464,Gainesville,Alabama
35972,Gallant,Alabama
36742,Gallion,Alabama
36038,Gantt,Alabama
35070,Garden City,Alabama
35071,Gardendale,Alabama
35973,Gaylesville,Alabama
35974,Geraldine,Alabama
36908,Gilbertown,Alabama
36034,Glenwood,Alabama
35560,Goodsprings,Alabama
35072,Goodwater,Alabama
36449,Goodway,Alabama
35466,Gordo,Alabama
36343,Gordon,Alabama
36035,Goshen,Alabama
36482,Gosport,Alabama
36036,Grady,Alabama
36263,Graham,Alabama
36541,Grand Bay,Alabama
35747,Grant,Alabama
35148,Gravleeton,Alabama
35572,Grayson,Alabama
35074,Green Pond,Alabama
36744,Greensboro,Alabama
36037,Greenville,Alabama
35975,Groveoak,Alabama
35563,Guin,Alabama
36542,Gulf Shores,Alabama
36547,Gulf Shores,Alabama
36115,Gunter A F B,Alabama
36114,Gunter AFB,Alabama
36118,Gunter AFS,Alabama
35976,Guntersville,Alabama
35748,Gurley,Alabama
35564,Hackleburg,Alabama
35565,Haleyville,Alabama
35989,Hammondville,Alabama
35077,Hanceville,Alabama
36039,Hardaway,Alabama
35078,Harpersville,Alabama
36344,Hartford,Alabama
35640,Hartselle,Alabama
35749,Harvest,Alabama
36858,Hatchechubbee,Alabama
36280,Hawk,Alabama
36040,Hayneville,Alabama
35750,Hazel Green,Alabama
36345,Headland,Alabama
35080,Helena,Alabama
35978,Henagar,Alabama
35979,Higdon,Alabama
36041,Highland Home,Alabama
35121,Highland Lake,Alabama
35643,Hillsboro,Alabama
35082,Hollins,Alabama
35083,Holly Pond,Alabama
35751,Hollytree,Alabama
35752,Hollywood,Alabama
36042,Honoraville,Alabama
36043,Hope Hull,Alabama
35980,Horton,Alabama
35801,Huntsville,Alabama
35802,Huntsville,Alabama
35803,Huntsville,Alabama
35804,Huntsville,Alabama
35805,Huntsville,Alabama
35806,Huntsville,Alabama
35807,Huntsville,Alabama
35808,Huntsville,Alabama
35809,Huntsville,Alabama
35810,Huntsville,Alabama
35811,Huntsville,Alabama
35812,Huntsville,Alabama
35813,Huntsville,Alabama
35814,Huntsville,Alabama
35815,Huntsville,Alabama
35816,Huntsville,Alabama
35824,Huntsville,Alabama
35893,Huntsville,Alabama
35894,Huntsville,Alabama
35895,Huntsville,Alabama
35896,Huntsville,Alabama
35897,Huntsville,Alabama
35898,Huntsville,Alabama
35899,Huntsville,Alabama
36860,Hurtsboro,Alabama
36543,Huxford,Alabama
36481,Hybart,Alabama
35768,Hytop,Alabama
35981,Ider,Alabama
35124,Indian Springs,Alabama
36544,Irvington,Alabama
36910,Jachin,Alabama
36545,Jackson,Alabama
36861,Jacksons Gap,Alabama
36265,Jacksonville,Alabama
35501,Jasper,Alabama
35502,Jasper,Alabama
35503,Jasper,Alabama
35504,Jasper,Alabama
36745,Jefferson,Alabama
35085,Jemison,Alabama
36749,Jones,Alabama
35087,Joppa,Alabama
35573,Kansas,Alabama
35468,Kellerman,Alabama
35089,Kellyton,Alabama
35574,Kennedy,Alabama
36045,Kent,Alabama
35645,Killen,Alabama
35091,Kimberly,Alabama
36453,Kinston,Alabama
35469,Knoxville,Alabama
36863,La Nett,Alabama
35754,Laceys Spring,Alabama
36862,Laf Ayette,Alabama
35111,Lake View,Alabama
35755,Langston,Alabama
36046,Lapine,Alabama
36793,Lawley,Alabama
35094,Leeds,Alabama
35983,Leesburg,Alabama
35646,Leighton,Alabama
36454,Lenox,Alabama
35647,Lester,Alabama
36047,Letohatchee,Alabama
35648,Lexington,Alabama
36549,Lillian,Alabama
35096,Lincoln,Alabama
36748,Linden,Alabama
36912,Lisman,Alabama
36550,Little River,Alabama
36865,Loachapoka,Alabama
36455,Lockhart,Alabama
35097,Locust Fork,Alabama
35098,Logan,Alabama
36048,Louisville,Alabama
36551,Loxley,Alabama
36049,Luverne,Alabama
35575,Lynn,Alabama
36273,Macedonia,Alabama
35756,Madison,Alabama
35757,Madison,Alabama
35758,Madison,Alabama
36610,Magazine,Alabama
36754,Magnolia,Alabama
36555,Magnolia Springs,Alabama
36556,Malcolm,Alabama
36349,Malvern,Alabama
36750,Maplesville,Alabama
36051,Marbury,Alabama
35112,Margaret,Alabama
36756,Marion,Alabama
36759,Marion Jct,Alabama
35115,Marvel,Alabama
36052,Mathews,Alabama
36112,Maxwell AFB,Alabama
36113,Maxwell AFB,Alabama
35114,Maylene,Alabama
35118,Maytown,Alabama
36553,Mc Intosh,Alabama
36456,Mc Kenzie,Alabama
35471,Mc Shan,Alabama
36753,Mc Williams,Alabama
36457,Megargel,Alabama
36913,Melvin,Alabama
35984,Mentone,Alabama
35759,Meridianville,Alabama
36458,Mexia,Alabama
36350,Midland City,Alabama
36054,Millbrook,Alabama
36267,Millerville,Alabama
36601,Mobile,Alabama
36602,Mobile,Alabama
36603,Mobile,Alabama
36604,Mobile,Alabama
36605,Mobile,Alabama
36606,Mobile,Alabama
36607,Mobile,Alabama
36608,Mobile,Alabama
36609,Mobile,Alabama
36612,Mobile,Alabama
36616,Mobile,Alabama
36617,Mobile,Alabama
36618,Mobile,Alabama
36619,Mobile,Alabama
36625,Mobile,Alabama
36628,Mobile,Alabama
36630,Mobile,Alabama
36633,Mobile,Alabama
36640,Mobile,Alabama
36641,Mobile,Alabama
36644,Mobile,Alabama
36652,Mobile,Alabama
36660,Mobile,Alabama
36670,Mobile,Alabama
36675,Mobile,Alabama
36685,Mobile,Alabama
36688,Mobile,Alabama
36689,Mobile,Alabama
36691,Mobile,Alabama
36693,Mobile,Alabama
36695,Mobile,Alabama
36460,Monroeville,Alabama
36462,Monroeville,Alabama
36132,Montg,Alabama
36135,Montg,Alabama
36140,Montg,Alabama
36177,Montg,Alabama
36101,Montgomery,Alabama
36102,Montgomery,Alabama
36103,Montgomery,Alabama
36104,Montgomery,Alabama
36105,Montgomery,Alabama
36106,Montgomery,Alabama
36107,Montgomery,Alabama
36109,Montgomery,Alabama
36111,Montgomery,Alabama
36116,Montgomery,Alabama
36117,Montgomery,Alabama
36119,Montgomery,Alabama
36120,Montgomery,Alabama
36121,Montgomery,Alabama
36123,Montgomery,Alabama
36124,Montgomery,Alabama
36125,Montgomery,Alabama
36131,Montgomery,Alabama
36559,Montrose,Alabama
35649,Mooresville,Alabama
35116,Morris,Alabama
36762,Morvin,Alabama
35650,Moulton,Alabama
35651,Mount Hope,Alabama
36057,Mount Meigs,Alabama
35117,Mount Olive,Alabama
36268,Munford,Alabama
36269,Muscadine,Alabama
35661,Muscle Shoals,Alabama
35662,Muscle Shoals,Alabama
36763,Myrtlewood,Alabama
36764,Nanafalia,Alabama
35577,Natural Brg,Alabama
35578,Nauvoo,Alabama
36915,Needham,Alabama
36351,New Brockton,Alabama
35119,New Castle,Alabama
35760,New Hope,Alabama
35761,New Market,Alabama
36765,Newbern,Alabama
36352,Newton,Alabama
35473,North Port,Alabama
35475,North Port,Alabama
35476,North Port,Alabama
36866,Notasulga,Alabama
35150,Oak Grove,Alabama
35151,Oak Grove,Alabama
36766,Oak Hill,Alabama
35579,Oakman,Alabama
36271,Ohatchee,Alabama
36801,Opelika,Alabama
36802,Opelika,Alabama
36803,Opelika,Alabama
36804,Opelika,Alabama
36467,Opp,Alabama
36561,Orange Beach,Alabama
36767,Orrville,Alabama
36360,Ozark,Alabama
36361,Ozark,Alabama
35764,Paint Rock,Alabama
35123,Palmerdale,Alabama
35477,Panola,Alabama
36370,Pansey,Alabama
35580,Parrish,Alabama
35128,Pell City,Alabama
36916,Pennington,Alabama
36562,Perdido,Alabama
36471,Peterman,Alabama
35478,Peterson,Alabama
36062,Petrey,Alabama
36867,Phenix City,Alabama
36868,Phenix City,Alabama
36869,Phenix City,Alabama
36870,Phenix City,Alabama
35581,Phil Campbell,Alabama
36064,Pike Road,Alabama
36371,Pinckard,Alabama
36768,Pine Apple,Alabama
36769,Pine Hill,Alabama
36065,Pine Level,Alabama
35765,Pisgah,Alabama
36871,Pittsview,Alabama
35127,Pl Grove,Alabama
36758,Plantersville,Alabama
36564,Point Clear,Alabama
35130,Praco,Alabama
36066,Prattville,Alabama
36067,Prattville,Alabama
36068,Prattville,Alabama
35766,Princeton,Alabama
35131,Ragland,Alabama
35986,Rainsville,Alabama
35480,Ralph,Alabama
36069,Ramer,Alabama
36792,Randolph,Alabama
36473,Range,Alabama
35582,Red Bay,Alabama
36474,Red Level,Alabama
35133,Remlap,Alabama
36475,Repton,Alabama
36476,River Falls,Alabama
35135,Riverside,Alabama
36872,Riverview,Alabama
36274,Roanoke,Alabama
36574,Robertsdale,Alabama
35136,Rockford,Alabama
35652,Rogersville,Alabama
35653,Russellville,Alabama
35654,Russellville,Alabama
36071,Rutledge,Alabama
35767,Ryland,Alabama
36773,Safford,Alabama
35137,Saginaw,Alabama
36568,Saint Elmo,Alabama
36569,Saint Stephens,Alabama
36874,Salem,Alabama
36582,Saltaire,Alabama
35482,Samantha,Alabama
36477,Samson,Alabama
36571,Saraland,Alabama
36775,Sardis,Alabama
36572,Satsuma,Alabama
36776,Sawyerville,Alabama
35139,Sayre,Alabama
35769,Scottsboro,Alabama
36875,Seale,Alabama
35771,Section,Alabama
36701,Selma,Alabama
36702,Selma,Alabama
36703,Selma,Alabama
36575,Semmes,Alabama
35142,Shannon,Alabama
35660,Sheffield,Alabama
35143,Shelby,Alabama
36075,Shorter,Alabama
36373,Shorterville,Alabama
36576,Silverhill,Alabama
35584,Sipsey,Alabama
35405,Skyland,Alabama
36375,Slocomb,Alabama
36877,Smiths,Alabama
35670,Somerville,Alabama
36527,Spanish Fort,Alabama
36577,Spanish Fort,Alabama
36275,Spring Garden,Alabama
35146,Springville,Alabama
35585,Spruce Pine,Alabama
36790,Stanton,Alabama
