Zipcode,Median Income,population
76875,41146,668
76877,33599,4558
76878,30950,1685
76880,0,0
76882,60188,252
76883,0,0
76884,100735,172
76885,0,154
76886,0,0
76887,62045,126
76888,26705,110
76890,55673,940
76901,46111,27969
76902,0,0
76903,33533,31905
76904,54537,32718
76905,50674,11335
76906,0,0
76908,23875,1951
76909,0,0
76930,50694,156
76932,59792,3390
76933,43295,1365
76934,45217,1296
76935,63636,1606
76936,50602,3377
76937,0,37
76939,47000,51
76940,0,176
76941,47159,1348
76943,49643,3693
76945,38839,1665
76949,0,7
76950,53500,4180
76951,50543,1143
76953,22625,74
76955,0,133
76957,0,59
76958,104107,310
77001,0,0
77002,64093,16793
77003,36412,10508
77004,41983,32692
77005,159732,25528
77006,67458,19664
77007,98725,30853
77008,70293,30482
77009,44651,38094
77010,250001,366
77011,26838,19547
77012,34975,20719
77013,36829,17602
77014,40659,28684
77015,44167,53621
77016,31327,26989
77017,35586,32561
77018,61980,25563
77019,87394,18944
77020,29401,25464
77021,31103,26042
77022,28810,29557
77023,36033,28998
77024,111139,34775
77025,65828,26137
77026,20024,23940
77027,81661,14331
77028,29389,16808
77029,31715,17814
77030,68980,10258
77031,39278,15762
77032,23389,12757
77033,27272,27965
77034,43905,33678
77035,36345,35896
77036,28266,71969
77037,35518,19819
77038,38160,26713
77039,38167,27562
77040,53194,45081
77041,70608,37146
77042,46159,36385
77043,54359,23358
77044,72761,30949
77045,36952,31255
77046,85493,1196
77047,49246,21077
77048,36818,15294
77049,50348,28521
77050,44327,4611
77051,22920,15085
77052,0,0
77053,46568,28954
77054,41694,22290
77055,46987,41989
77056,93069,18673
77057,54594,39208
77058,49589,16406
77059,136355,16949
77060,27750,40830
77061,34566,24457
77062,87960,25152
77063,49873,34299
77064,62610,45847
77065,54091,35326
77066,59855,31366
77067,37309,30559
77068,67945,10064
77069,68495,16541
77070,69139,46017
77071,45941,25671
77072,35462,56526
77073,51206,34790
77074,36207,37267
77075,45581,37388
77076,31212,33803
77077,59958,52151
77078,30368,14777
77079,95589,31280
77080,38159,45275
77081,26741,47860
77082,50294,49900
77083,53879,70837
77084,62785,95137
77085,49466,16074
77086,42030,28009
77087,38707,36399
77088,40896,49660
77089,63141,48685
77090,36138,32930
77091,27903,23472
77092,37314,33745
77093,31725,46929
77094,146518,8498
77095,89393,66502
77096,63346,32628
77097,0,0
77098,81907,13076
77099,35252,47091
77201,0,0
77202,0,0
77203,0,0
77204,0,0
77205,0,0
77206,0,0
77207,0,0
77208,0,0
77209,0,0
77210,0,0
77212,0,0
77213,0,0
77215,0,0
77216,0,0
77217,0,0
77218,0,0
77219,0,0
77220,0,0
77221,0,0
77222,0,0
77223,0,0
77224,0,0
77225,0,0
77226,0,0
77227,0,0
77228,0,0
77229,0,0
77230,0,0
77231,0,0
77233,0,0
77234,0,0
77235,0,0
77236,0,0
77237,0,0
77238,0,0
77240,0,0
77241,0,0
77242,0,0
77243,0,0
77244,0,0
77245,0,0
77246,0,0
77247,0,0
77248,0,0
77249,0,0
77250,0,0
77251,0,0
77252,0,0
77253,0,0
77254,0,0
77255,0,0
77256,0,0
77257,0,0
77258,0,0
77259,0,0
77260,0,0
77261,0,0
77262,0,0
77263,0,0
77265,0,0
77266,0,0
77267,0,0
77268,0,0
77269,0,0
77270,0,0
77271,0,0
77272,0,0
77273,0,0
77274,0,0
77275,0,0
77276,0,0
77277,0,0
77278,0,0
77279,0,0
77280,0,0
77282,0,0
77284,0,0
77285,0,0
77286,0,0
77287,0,0
77288,0,0
77289,0,0
77290,0,0
77291,0,0
77292,0,0
77293,0,0
77294,0,0
77296,0,0
77297,0,0
77298,0,0
77299,0,0
77301,34097,30769
77302,57758,18118
77303,45599,16710
77304,58774,21314
77305,0,0
77306,41596,11931
77315,0,0
77316,72458,16036
77318,78194,14281
77320,44130,33678
77325,0,0
77326,0,69
77327,46936,20160
77328,48250,13993
77331,41596,6824
77332,0,0
77333,0,0
77334,0,141
77335,23958,2350
77336,62995,12471
77337,0,0
77338,48046,33971
77339,73135,37512
77340,30933,29809
77341,0,0
77342,0,23
77343,0,0
77344,0,0
77345,119708,26122
77346,86523,53578
77347,0,0
77348,0,0
77349,0,0
77350,86563,66
77351,39967,32517
77353,0,0
77354,75269,30215
77355,71326,24010
77356,78353,24498
77357,48979,19987
77358,57656,4993
77359,36646,721
77360,32380,5280
77362,59576,4600
77363,46842,3269
77364,44595,2223
77365,58109,25769
77367,75556,143
77368,58182,152
77369,19485,1018
77371,38595,7665
77372,44896,12164
77373,67742,54609
77374,67500,510
77375,60782,39351
77376,17286,617
77377,87474,28708
77378,48136,14685
77379,97692,70544
77380,67616,23136
77381,101383,34961
77382,131564,35369
77383,0,0
77384,80032,11857
77385,82175,19534
77386,82747,36407
77387,0,0
77388,82936,40384
77389,99702,21255
77391,0,0
77393,0,0
77396,56575,43317
77399,0,0
77401,144821,17491
77402,0,0
77404,0,0
77406,110294,33682
77407,85219,28595
77410,0,0
77411,0,0
77412,30000,106
77413,0,0
77414,43186,23047
77415,0,46
77417,35833,2457
77418,46250,9585
77419,21857,1512
77420,27660,2205
77422,49262,13933
77423,36667,9483
77426,56420,2100
77428,0,61
77429,96695,72264
77430,68889,2283
77431,0,0
77432,0,173
77433,89258,50539
77434,35105,4816
77435,49604,4539
77436,0,73
77437,43599,17054
77440,0,37
77441,123703,4809
77442,35208,1137
77443,0,84
77444,59808,784
77445,43066,11977
77446,33897,5217
77447,65682,11872
77448,0,341
77449,65420,94382
77450,100957,71889
77451,23438,77
77452,0,0
77453,26435,301
77454,72500,217
77455,50000,2045
77456,44878,1303
77457,41912,651
77458,19934,468
77459,104547,56274
77460,63462,73
77461,59220,10679
77463,0,0
77464,49432,221
77465,42623,7161
77466,60742,690
77467,16667,57
77468,17820,131
77469,67088,35321
77470,34667,338
77471,43798,35241
77473,20357,97
77474,56905,12782
77475,42404,773
77476,25000,313
77477,54917,35897
77478,89549,24739
77479,123935,74514
77480,53639,8097
77481,0,35
77482,51887,2307
77483,122935,311
77484,63045,11068
77485,60900,4054
77486,58049,6851
77487,0,0
77488,36257,14148
77489,58315,35554
77491,0,0
77492,0,0
77493,78452,23104
77494,126425,61600
77496,0,0
77497,0,0
77498,72232,49906
77501,0,0
77502,43014,37995
77503,44939,24251
77504,40321,24529
77505,72695,23223
77506,30617,35977
77507,0,0
77508,0,0
77510,60074,13731
77511,52507,46627
77512,0,0
77514,44375,4942
77515,55911,30309
77516,0,0
77517,83472,5315
77518,40612,8673
77519,36487,1191
77520,43409,36489
77521,53726,49507
77522,0,0
77523,90229,17031
77530,44786,31086
77531,47121,15639
77532,63236,26236
77533,47500,1022
77534,77045,2863
77535,54553,31295
77536,77824,30690
77538,44625,934
77539,66129,38806
77541,39304,17412
77542,0,0
77545,67970,19431
77546,98442,47636
77547,38692,9735
77549,0,0
77550,32447,23043
77551,42575,17753
77552,0,0
77553,0,0
77554,64583,8863
77555,0,0
77560,41463,1005
77561,12250,53
77562,57394,10459
77563,50498,9103
77564,48657,1988
77565,80000,5790
77566,75066,28739
77568,42196,14308
77571,68102,35666
77572,0,0
77573,92559,71580
77574,0,0
77575,42765,15949
77577,52606,1368
77578,92826,12672
77580,131641,312
77581,83709,42383
77582,0,0
77583,68939,28531
77584,94103,70228
77585,37299,1014
77586,86786,20970
77587,36083,16568
77588,0,0
77590,45343,30374
77591,46096,13131
77592,0,0
77597,81125,777
77598,46682,23059
77611,63640,8219
77612,50144,8901
77613,61563,1218
77614,49960,603
77615,50250,1012
77616,50921,1136
77617,35625,73
77619,50559,16147
77622,84766,1390
77623,61364,448
77624,39662,856
77625,45515,8489
77626,0,0
77627,59701,21454
77629,52813,877
77630,42131,26796
77631,0,0
77632,64694,22776
77639,0,0
77640,29096,16875
77641,0,0
77642,32039,37111
77643,0,0
77650,79000,1896
77651,61363,13043
77655,39083,356
77656,45851,17110
77657,61609,20003
77659,68901,4910
77660,37857,1437
77661,80029,962
77662,43826,27035
77663,73421,1353
77664,43425,2681
77665,50149,6446
77670,0,0
77701,30316,14674
77702,37783,2893
77703,24829,15006
77704,0,0
77705,34356,40475
77706,55900,28258
77707,50051,17080
77708,41205,11518
77709,0,0
77710,0,0
77713,60800,12788
77720,0,0
77725,0,0
77726,0,0
77801,23162,15449
77802,51801,23288
77803,34420,30252
77805,0,0
77806,0,0
77807,42154,9699
77808,60981,10634
77830,46979,2534
77831,34228,3426
77833,44612,27492
77834,0,0
77835,48750,2351
77836,52348,11896
77837,22904,1587
77838,0,0
77840,19011,56171
77841,0,0
77842,0,0
77843,0,0
77844,0,0
77845,70400,48938
77850,0,0
77852,0,0
77853,53911,953
77855,0,238
77856,56667,5096
77857,42434,757
77859,35625,6981
77861,66397,2506
77862,0,0
77863,0,0
77864,37880,7647
77865,54338,1798
77866,0,0
77867,65833,105
77868,41000,15511
77869,0,0
77870,0,0
77871,43047,3368
77872,44704,1716
77873,47159,1292
77875,0,0
77876,55083,197
77878,34338,475
77879,41368,4670
77880,38672,1879
77881,0,0
77882,0,0
77901,40571,41548
77902,0,0
77903,0,0
77904,61286,25002
77905,61967,13981
77950,32083,197
77951,34811,2616
77954,47448,11506
77957,45798,8187
77960,0,121
77961,0,183
77962,61607,3286
77963,48858,5459
77964,42349,7569
77967,0,0
77968,72593,2774
77969,43971,154
77970,48554,295
77971,64896,911
77973,0,50
77974,51667,455
77975,56696,1860
77976,71042,126
77977,24821,718
77978,53636,743
77979,46296,17144
77982,52188,1253
77983,51250,2209
77984,46307,4295
77986,0,0
77987,54643,161
77988,46613,326
77989,0,0
77990,45000,699
77991,44432,357
77993,44779,148
77994,44545,321
77995,44986,9567
78001,0,33
78002,48545,8255
78003,43780,8689
78004,124592,1183
78005,24088,817
